"","year","operator","dw","country_or_market","data_source"
"140",1967,"GSAL",8920,"Transatlantic","CIY"
"141",1979,"Gulf Container",32520,"Transatlantic","CIY"
"142",2005,"GWS",163954,"Sg","HB"
"143",2010,"Hafez Darya Arya Shipping Lines",991501,"Ge","HB"
"144",2011,"Hainan",255864,"PRC","HB"
"145",1982,"Hamburg-Sud",12110,"Transatlantic","CIY"
"146",2005,"Hamburg Sud",474239,"Li","HB"
"147",1971,"Hanjin",16620,"Transpacific","CIY"
"148",2005,"Hanjin",5433036,"Ko","HB"
"149",1968,"Hapag-Lloyd",44560,"Transatlantic","CIY"
"150",2005,"Hapag-Lloyd",1926991,"Ge","HB"
"151",1977,"Harrison Line",24000,"Transatlantic","CIY"
"152",2005,"HASCO",50561,"Li","HB"
"153",1981,"Havenlijn",11890,"Transatlantic","CIY"
"154",2020,"Hede International Shipping",32285,"An","HB"
"155",1971,"Hellenic Lines",6000,"Transpacific","CIY"
"156",2005,"HEUNG-A",236643,"Pa","HB"
"157",2005,"HMM",1599142,"Br","HB"
"158",2005,"Hoegh",349033,"Ba","HB"
"159",1967,"Hoegh Lines",2000,"Transpacific","CIY"
"160",1977,"Hong Kong Cont Line",12270,"Asia and Eur","CIY"
"161",2011,"Hub Line",88498,"Li","HB"
"162",2020,"Hyoki Kaiun",17164,"Th","HB"
"163",2018,"I-Line",13811,"Ba","HB"
"164",1977,"Ibero Lines",16480,"Transatlantic","CIY"
"165",1978,"Ibertrans",3980,"Transatlantic","CIY"
"166",2005,"Iino Kaiun",12520,"Cp","HB"
"167",2005,"ILN",7196,"Ba","HB"
"168",1978,"Incotrans",14250,"Transatlantic","CIY"
"169",1984,"Independent",7550,"Transatlantic","CIY"
"170",1978,"India SS",3390,"Asia and Eur","CIY"
"171",2010,"Interasia",11983,"An","HB"
"172",2005,"Intermarine",70203,"An","HB"
"173",2005,"IRISL",487131,"Ir","HB"
"174",1971,"Italia",12000,"Transatlantic","CIY"
"175",1971,"Italia marittima SpA",9000,"Transatlantic","CIY"
"176",2007,"ITS",1378055,"It","HB"
"177",1981,"Japan Line",18340,"Transpacific","CIY"
"178",1968,"Japanese joint service",46540,"Transpacific","CIY"
"179",2007,"Ji Zhou Shipping",8238,"HK","HB"
"180",1969,"Johnson-Scanstar",15220,"Transatlantic","CIY"
"181",1969,"Johnson Line",8550,"Transatlantic","CIY"
"182",1969,"Joon Liner",6200,"Transatlantic","CIY"
"183",1972,"Jugolinija",1840,"Asia and Eur","CIY"
"184",2005,"Jutha",8976,"Th","HB"
"185",1971,"K-Line",17520,"Transpacific","CIY"
"186",2005,"Kambara Kisen",77284,"Pa","HB"
"187",2005,"Kampu Ferry",7795,"Ja","HB"
"188",2005,"Kawasaki Kinkai Kisen",81021,"Pa","HB"
"189",1978,"Kent Line",5560,"Transatlantic","CIY"
"190",2008,"KL/MOL",0,"Ge","HB"
"191",2005,"KLINE",6570460,"Pa","HB"
"192",2005,"KMTC",252879,"Ms","HB"
"193",1977,"KNSM",12020,"Transatlantic","CIY"
"194",1965,"Knutsen Line",3140,"Transpacific","CIY"
"195",2005,"Konoike",17597,"Pa","HB"
"196",1978,"Korea Marine Trans/NYK",10340,"Transpacific","CIY"
"197",1971,"KSC",16580,"Transpacific","CIY"
"198",1984,"Kyowa",2050,"Transpacific","CIY"
"199",2005,"Kyowa Kaiun",33154,"Pa","HB"
"200",1979,"Laser Lines",17000,"Transatlantic","CIY"
"201",1970,"Lash Carriers",6000,"Transatlantic","CIY"
"202",1976,"Latvian Shipping Co",1000,"Transatlantic","CIY"
"203",2005,"LauritzenCool",86969,"Pa","HB"
"204",1970,"Lauro",1040,"Transatlantic","CIY"
"205",1979,"Lloyd Brasileiro",13400,"Transpacific","CIY"
"206",1979,"Lloyd Triestino",6000,"Asia and Eur","CIY"
"207",2005,"Lloyd Triestino",2364114,"Pa","HB"
"208",2005,"Lufeng",20404,"SV","HB"
"209",2005,"Lykes",350656,"Br","HB"
"210",1965,"Lykes Lines",21280,"Transatlantic","CIY"
"211",2007,"MacAndrews",35966,"Li","HB"
"212",1967,"Maersk",10000,"Asia and Eur","CIY"
"213",2005,"Maersk",16884592,"Am","HB"
"214",2007,"Magistral Container Line",25023,"Li","HB"
"215",1980,"Mambisa",3360,"Transatlantic","CIY"
"216",1968,"Manchester Liners",13600,"Transatlantic","CIY"
"217",1969,"Marasia",1500,"Transatlantic","CIY"
"218",1973,"Marfret",4770,"Asia and Eur","CIY"
"219",2005,"Mariana",18104,"Pa","HB"
"220",2005,"Maritima Maruba S. A.",176599,"An","HB"
"221",1972,"Maritime Container Line",2860,"Transatlantic","CIY"
"222",1981,"Maruba",5690,"Transatlantic","CIY"
"223",2005,"Maruni Line",25119,"Pa","HB"
