"","id","year","ship_name","route_order","port_name","original_port_name"
"646","14",2018,NA,22,"Ho Chi Minh City, Laem Chabang","Ho Chi Minh City, Laem Chabang"
"647","9",2013,NA,22,"Ho Chi Minh ICD Phuoc Long","Ho Chi Minh ICD Phuoc Long(Thu)"
"648","13",2017,NA,34,"Ho Chi Minh Phuoc Long","Ho Chi Minh Phuoc Long(Sun)[4]"
"649","1",2005,"DONGTAI PEARL",26,"Ho Chi Minh VCT","Ho Chi Minh VCT(Fri/Sat)[8]"
"650","1",2005,"MARTRAVELLER",28,"Ho Chi Minh VICT","Ho Chi Minh VICT(Thu)[11]"
"651","5",2009,"KOTA RAKYAT",28,"Ho Chi Minh, Cat Lai","Ho Chi Minh, Cat Lai(Sun)"
"652","5",2009,"KOTA RAKYAT",24,"Ho Chi Minh, Cat Lai ","Ho Chi Minh, Cat Lai (Fri/Sat)"
"653","5",2009,"KOTA RAKYAT",22,"Ho Chi Minh, ICD Phuoc Long","Ho Chi Minh, ICD Phuoc Long(Wed/Thu)"
"654","5",2009,"KOTA RAKYAT",23,"Ho Chi Minh, VICT","Ho Chi Minh, VICT(Thu/Fri)"
"655","1",2005,"Cape Darnley",30,"Hobart","Hobart"
"656","1",2005,"QC WISDOM",22,"Hodeidah","Hodeidah"
"657","17",2021,NA,21,"HokkaidoNihonkaiTohoku","[Hokkaido/Nihonkai/Tohoku]"
"658","16",2020,NA,21,"HokkaidoNihonkaiTohoku Tomakomai, Ishikariwan Shinko, Muroran, Hachinohe, Akita, Sakata, Niigata, Naoetsu, Toyama Shinko, Kanazawa, Sakaiminato, Sendai, Onahama","[Hokkaido/Nihonkai/Tohoku]  Tomakomai, Ishikariwan Shinko, Muroran, Hachinohe, Akita, Sakata, Niigata, Naoetsu, Toyama Shinko, Kanazawa, Sakaiminato, Sendai, Onahama"
"659","1",2005,"OOCL MALAYSIA",23,"Hong Kong","Hong Kong(Sat/Sun)[1]"
"660","1",2005,"MOL ENDURANCE",21,"Hongkong","Hongkong(Sun/Mon)[0]"
"661","4",2008,"HAKONE",27,"HongKong","HongKong(Fri/Sat)[7]"
"662","5",2009,"SEABOXER",28,"Hongkong HIT","Hongkong HIT(Fri)[6]"
"663","5",2009,"SEABOXER",27,"Hongkong MID","Hongkong MID(Wed/Thu)[4]"
"664","3",2007,NA,22,"Hongkong or Singapore","(1)Hongkong or Singapore"
"665","1",2005,NA,22,"Hongkong,","Hongkong,"
"666","1",2005,NA,28,"Hongkong,  Kaohsiung","Hongkong, (1) Kaohsiung"
"667","1",2005,NA,22,"Hongkong,  Singapore","Hongkong, (1) Singapore"
"668","5",2009,NA,22,"Hongkong, Bangkok, Singapore, Port Kelang, Penang, Bangkok","Hongkong, Bangkok, Singapore, Port Kelang, Penang, Bangkok"
"669","8",2012,NA,21,"Hongkong, Busan","(1)Hongkong, (2)Busan"
"670","11",2015,NA,27,"Hongkong, Cai Mep, pore","(１)Hongkong, (2)Cai Mep, (3)pore"
"671","9",2013,NA,24,"Hongkong, Cai Mep, Singapore","Hongkong, Cai Mep, (1)Singapore"
"672","1",2005,"Blue Express",22,"Hongkong, Haiphong","Hongkong, %Haiphong"
"673","17",2021,NA,23,"Hongkong, Haiphong, Da Nang","Hongkong, Haiphong, Da Nang"
"674","4",2008,NA,22,"Hongkong, Huangpu","(1)Hongkong, Huangpu"
"675","6",2010,NA,22,"Hongkong, Huangpu, Bangkok, Singapore, Port Kelang, Penang","Hongkong, Huangpu, Bangkok, Singapore, Port Kelang, Penang"
"676","1",2005,NA,26,"Hongkong, Kaohsiung","Hongkong, (1)Kaohsiung"
"677","13",2017,NA,21,"Hongkong, Kaohsiung, Naha","(1)Hongkong, (2)Kaohsiung, Naha"
"678","15",2019,NA,23,"Hongkong, Kaohsiung, Shanghai","(WSA): (5)Hongkong, (6)Kaohsiung, (7)Shanghai"
"679","8",2012,NA,26,"Hongkong, Kaohsiung, Singapore","Hongkong, Kaohsiung, Singapore"
"680","9",2013,NA,33,"Hongkong, Laem Chabang","Hongkong, Laem Chabang"
"681","7",2011,NA,36,"Hongkong, Laem Chabang, Cai Mep","Hongkong, Laem Chabang, Cai Mep"
"682","5",2009,"Atlant Regine",23,"Hongkong, Masan, Shanghai, Abu Dhabi, Doha, Sohar, Muscat, Fujairah, Mumbai","Hongkong, Masan, Shanghai, Abu Dhabi, Doha, Sohar, Muscat, Fujairah, Mumbai"
"683","15",2019,NA,24,"Hongkong, Nansha","(1)Hongkong, Nansha"
"684","14",2018,NA,22,"Hongkong, Ningbo, Shanghai","(1)Hongkong, Ningbo, Shanghai"
"685","2",2006,NA,22,"Hongkong, Pasir Gudang, Singapore, Port Kelang, Penang","Hongkong, Pasir Gudang, Singapore, Port Kelang, Penang"
