"","year","operator","dw","data_source"
"79",2005,"Daiko Shipping",11060,"HB"
"80",2019,"Dalian JiFa Bohai Rim Container Lines",24215,"HB"
"81",2005,"Dandong International Ferry",11664,"HB"
"82",1979,"Dannebrog",21040,"CIY"
"83",1970,"Dart Containerline",31120,"CIY"
"84",2005,"DBLCC",6626,"HB"
"85",2005,"Delmas",243248,"HB"
"86",1978,"Deppe",8000,"CIY"
"87",1977,"Deutsche Afrika-Linien",6000,"CIY"
"88",1979,"DFDS",15480,"CIY"
"89",1981,"DL",6860,"CIY"
"90",2005,"Dong Jin",34081,"HB"
"91",2005,"Dong Young",23709,"HB"
"92",2020,"Dongchen Line",8370,"HB"
"93",2005,"Dongnama",170977,"HB"
"94",2011,"Doriko",42424,"HB"
"95",1986,"DSR",37340,"CIY"
"96",2022,"DTS",19000,"HB"
"97",1982,"EAC West Africa",6750,"CIY"
"98",2017,"EAS International Shipping",8131,"HB"
"99",1977,"East Asiatic Co. A/S",14980,"CIY"
"100",2005,"Eastern Car Liner",21014,"HB"
"101",2005,"Eastern Shipping Lines",23601,"HB"
"102",1972,"EISC",1500,"CIY"
"103",1976,"Elma",5060,"CIY"
"104",2007,"Emirates Shipping",324026,"HB"
"105",1982,"Empremar",6420,"CIY"
"106",1976,"ENC",1100,"CIY"
"107",1977,"Euro-Gulf",13000,"CIY"
"108",1978,"Eurobridge Lines",6200,"CIY"
"109",1983,"Europe Paraguay",8320,"CIY"
"110",1973,"Eurosal",3930,"CIY"
"111",1975,"Evergreen",17560,"CIY"
"112",2005,"Evergreen",10102350,"HB"
"113",1982,"EWL",4560,"CIY"
"114",2005,"Fair Wind",20818,"HB"
"115",1973,"Falline",6000,"CIY"
"116",1965,"Farrell Lines",10680,"CIY"
"117",1972,"Fesco",3020,"CIY"
"118",2005,"FESCO",10909,"HB"
"119",1977,"Finland Steamship",5520,"CIY"
"120",1971,"Finnlines",11360,"CIY"
"121",1976,"Franco-Belgian Services",29640,"CIY"
"122",1982,"Fred Olsen",1640,"CIY"
"123",1979,"Frigo",1470,"CIY"
"124",1971,"Frota Oceanica",1280,"CIY"
"125",2005,"Fujian Shipping",16540,"HB"
"126",2019,"G2 Ocean",159351,"HB"
"127",1965,"Galleon",9530,"CIY"
"128",1985,"GBCS",42000,"CIY"
"129",2005,"Geneq",14798,"HB"
"130",2005,"Genshipping Pacific Line",55102,"HB"
"131",2005,"Gesuri Lloyd",10138,"HB"
"132",2005,"Gold Star Line",365750,"HB"
"133",2011,"Goto Shipping",45482,"HB"
"134",1965,"Grancolombiana",1890,"CIY"
"135",2009,"Grand China Shipping",46931,"HB"
"136",1969,"Great Eastern Shipping Corp",2640,"CIY"
"137",2005,"Greater Bali-Hai",52410,"HB"
"138",1987,"Grimaldi",21400,"CIY"
"139",2005,"Grupo TMM",101573,"HB"
"140",1967,"GSAL",8920,"CIY"
"141",1979,"Gulf Container",32520,"CIY"
"142",2005,"GWS",163954,"HB"
"143",2010,"Hafez Darya Arya Shipping Lines",991501,"HB"
"144",2011,"Hainan",255864,"HB"
"145",1982,"Hamburg-Sud",12110,"CIY"
"146",2005,"Hamburg Sud",474239,"HB"
"147",1971,"Hanjin",16620,"CIY"
"148",2005,"Hanjin",5433036,"HB"
"149",1968,"Hapag-Lloyd",44560,"CIY"
"150",2005,"Hapag-Lloyd",1926991,"HB"
"151",1977,"Harrison Line",24000,"CIY"
"152",2005,"HASCO",50561,"HB"
"153",1981,"Havenlijn",11890,"CIY"
"154",2020,"Hede International Shipping",32285,"HB"
"155",1971,"Hellenic Lines",6000,"CIY"
"156",2005,"HEUNG-A",236643,"HB"
"157",2005,"HMM",1599142,"HB"
"158",2005,"Hoegh",349033,"HB"
"159",1967,"Hoegh Lines",2000,"CIY"
"160",1977,"Hong Kong Cont Line",12270,"CIY"
"161",2011,"Hub Line",88498,"HB"
"162",2020,"Hyoki Kaiun",17164,"HB"
"163",2018,"I-Line",13811,"HB"
"164",1977,"Ibero Lines",16480,"CIY"
"165",1978,"Ibertrans",3980,"CIY"
"166",2005,"Iino Kaiun",12520,"HB"
"167",2005,"ILN",7196,"HB"
"168",1978,"Incotrans",14250,"CIY"
"169",1984,"Independent",7550,"CIY"
"170",1978,"India SS",3390,"CIY"
"171",2010,"Interasia",11983,"HB"
"172",2005,"Intermarine",70203,"HB"
"173",2005,"IRISL",487131,"HB"
"174",1971,"Italia",12000,"CIY"
"175",1971,"Italia marittima SpA",9000,"CIY"
"176",2007,"ITS",1378055,"HB"
"177",1981,"Japan Line",18340,"CIY"
"178",1968,"Japanese joint service",46540,"CIY"
"179",2007,"Ji Zhou Shipping",8238,"HB"
"180",1969,"Johnson-Scanstar",15220,"CIY"
"181",1969,"Johnson Line",8550,"CIY"
"182",1969,"Joon Liner",6200,"CIY"
"183",1972,"Jugolinija",1840,"CIY"
"184",2005,"Jutha",8976,"HB"
"185",1971,"K-Line",17520,"CIY"
"186",2005,"Kambara Kisen",77284,"HB"
"187",2005,"Kampu Ferry",7795,"HB"
"188",2005,"Kawasaki Kinkai Kisen",81021,"HB"
"189",1978,"Kent Line",5560,"CIY"
"190",2008,"KL/MOL",0,"HB"
"191",2005,"KLINE",6570460,"HB"
"192",2005,"KMTC",252879,"HB"
"193",1977,"KNSM",12020,"CIY"
"194",1965,"Knutsen Line",3140,"CIY"
