"","alliance_group_name"
"213","CMA-CGM(Ben)/China Shipping/Norasia(Wallem)"
"214","CMA-CGM(Ben)/China Shipping/PONL"
"215","CMA-CGM(Ben)/CSAV(Wallem)"
"216","CMA-CGM(Ben)/CSCL"
"217","CMA-CGM(Ben)/CSCL/Maruba(NMC)"
"218","CMA-CGM(Ben)/Delmas"
"219","CMA-CGM(Ben)/Gold Star/Hanjin/Norasia"
"220","CMA-CGM(Ben)/Gold Star/Hanjin/Norasia(Wallem)"
"221","CMA-CGM(Ben)/LT"
"222","CMA-CGM(Ben)/Maruba(NMC)"
"223","CMA-CGM(Ben)/MSC"
"224","CMA-CGM(Ben)/MSC/Norasia(Wallem)"
"225","CMA-CGM(Ben)/Norasia(Wallem)"
"226","CMA-CGM/CSCL"
"227","CMA-CGM/Hapag"
"228","CMA-CGM/MSC"
"229","CMA-CGM/Norasia/Wan Hai"
"230","CMA CGM"
"231","CMA CGM/COSCO"
"232","CMA CGM/COSCO/Evergreen"
"233","CMA CGM/COSCO/Evergreen/Hamburd Sud(Seven Seas)/Hapag/Hyundai/NYK/Zim"
"234","CMA CGM/COSCO/Evergreen/Hamburd Sud(Seven Seas)/Hapag/NYK"
"235","CMA CGM/COSCO/Evergreen/OOCL"
"236","CMA CGM/COSCO/Evergreen/OOCL/PIL(Mariana)"
"237","CMA CGM/COSCO/Evergreen/PIL(Mariama)/Yang Ming"
"238","CMA CGM/COSCO/Evergreen/PIL(Mariana)"
"239","CMA CGM/COSCO/Evergreen/SEACON"
"240","CMA CGM/COSCO/Evergreen/UASC"
"241","CMA CGM/COSCO/Evergreen/Yang Ming"
"242","CMA CGM/COSCO/Gold Star/RCL/OOCL"
"243","CMA CGM/COSCO/Hamburg Sud(Seven Seas)/Hapag"
"244","CMA CGM/COSCO/Hamburg Sud(Seven Seas)/Hapag/Hyundai/MSC"
"245","CMA CGM/COSCO/Hamburg Sud(Seven Seas)/Hapag/ONE"
"246","CMA CGM/COSCO/Hapag/MSC"
"247","CMA CGM/COSCO/Hapag/MSC/ONE"
"248","CMA CGM/COSCO/KMTC/RCL/Simatech/T.S. Lines"
"249","CMA CGM/COSCO/Maersk"
"250","CMA CGM/COSCO/Maersk/NileDutch"
"251","CMA CGM/COSCO/Maersk/NileDutch/PIL(Mariana)"
"252","CMA CGM/COSCO/OOCL"
"253","CMA CGM/COSCO/PIL/UASC"
"254","CMA CGM/COSCO/UASC"
"255","CMA CGM/COSCO/UASC/Yang Ming"
"256","CMA CGM/CSAV(Wallem)"
"257","CMA CGM/CSAV(Wallem)/CSCL"
"258","CMA CGM/CSAV(Wallem)/CSCL/Hamburg Sud(Seven Seas)/Hanjin/Maersk"
"259","CMA CGM/CSAV(Wallem)/CSCL/Hamburg Sud(Seven Seas)/Maersk"
"260","CMA CGM/CSAV(Wallem)/CSCL/MSC"
"261","CMA CGM/CSAV(Wallem)/MSC"
"262","CMA CGM/CSCL"
"263","CMA CGM/CSCL/[Norasia/CSAV](Wallem)"
"264","CMA CGM/CSCL/Evergreen"
"265","CMA CGM/CSCL/Hamburg Sud(Seven Seas)/Hanjin/Maersk"
"266","CMA CGM/CSCL/Hamburg Sud(Seven Seas)/Hanjin/Maersk/[Norasia/CSAV](Wallem)"
"267","CMA CGM/CSCL/Hamburg Sud(Seven Seas)/Hapag"
"268","CMA CGM/CSCL/Hamburg Sud(Seven Seas)/Hapag/NYK/UASC(Summit)"
"269","CMA CGM/CSCL/Hamburg Sud/UASC"
"270","CMA CGM/CSCL/Hanjin/Hyundai"
"271","CMA CGM/CSCL/Hanjin/UASC(Summit)"
"272","CMA CGM/CSCL/Hanjin/Yang Ming"
"273","CMA CGM/CSCL/Hanjin/Yang Ming/UASC(Summit)"
"274","CMA CGM/CSCL/Hapag"
"275","CMA CGM/CSCL/KL/Maruba(Global Maritime)"
"276","CMA CGM/CSCL/KL/Maruba(NMC)"
"277","CMA CGM/CSCL/Maruba(Global Maritime)"
"278","CMA CGM/CSCL/Maruba(NMC)"
"279","CMA CGM/CSCL/OOCL/PIL"
"280","CMA CGM/CSCL/PIL/UASC(Summit)/Yang Ming"
"281","CMA CGM/CSCL/UASC"
"282","CMA CGM/CSCL/UASC(Summit)"
"283","CMA CGM/CSCL/UASC(Summit)/Yang Ming"
"284","CMA CGM/Delmas"
"285","CMA CGM/Delmas(CMA CGM)"
"286","CMA CGM/Delmas(CMA CGM)/Emirates Ship."
"287","CMA CGM/Delmas(CMA CGM)/Maersk"
"288","CMA CGM/Delmas(CMA CGM)/Maersk/Safmarine"
"289","CMA CGM/Delmas(CMA CGM)/MOL"
"290","CMA CGM/Emirates Ship.(HASCO)"
"291","CMA CGM/Evergreen"
"292","CMA CGM/Evergreen/Hamburg Sud(Seven Seas)/Hapag/Hyundai/ONE/Zim"
"293","CMA CGM/FESCO(Trans Russia Ag)"
"294","CMA CGM/FESCO(Trans Russia Ag)/HMM"
"295","CMA CGM/FESCO(Trans Russia Ag)/Hyundai"
"296","CMA CGM/Hamburd Sud(Seven Seas)/Hapag/Hyundai/NYK/UASC"
"297","CMA CGM/Hamburg Sud"
"298","CMA CGM/Hamburg Sud(Seven Seas)/Hapag"
"299","CMA CGM/Hamburg Sud(Seven Seas)/Hapag/Hyundai/MSC"
"300","CMA CGM/Hamburg Sud(Seven Seas)/Hapag/Hyundai/NYK/Zim"
"301","CMA CGM/Hamburg Sud/Hapag"
"302","CMA CGM/Hanjin/UASC(Summit)"
"303","CMA CGM/Hapag"
